0,1
The Simpsons,"""Treehouse of Horror""""Treehouse of Horror II""""Treehouse of Horror III""""Treehouse of Horror IV""""Treehouse of Horror V""""Treehouse of Horror VI""""Treehouse of Horror VII""""Treehouse of Horror VIII""""Treehouse of Horror IX""""Treehouse of Horror X""""Treehouse of Horror XI""""Treehouse of Horror XII""""Treehouse of Horror XIII""""Treehouse of Horror XIV""""Treehouse of Horror XV""""Treehouse of Horror XVI""""Treehouse of Horror XVII""""Treehouse of Horror XVIII""""Treehouse of Horror XIX""""Treehouse of Horror XX""""Treehouse of Horror XXI""""Treehouse of Horror XXII""""Treehouse of Horror XXIII""""Treehouse of Horror XXIV""""Treehouse of Horror XXV""""Halloween of Horror""""Treehouse of Horror XXVI""""Treehouse of Horror XXVII""""Treehouse of Horror XXVIII""""Treehouse of Horror XXIX""""Treehouse of Horror XXX""""Treehouse of Horror XXXI""""Treehouse of Horror XXXII""""Treehouse of Horror XXXIII""""Treehouse of Horror XXXIV"""
Smiling Friends,"""A Silly Halloween Special"""
The Smurfs,"""All Hallows' Eve"" (1981)""The Scariest Smurf"" (2021)""The Magic Pumpkin"" (2021)""Smurf Racers"" (2021)"
Snorks,"""A Willie Scary Shalloween"""
Sofia the First,"""Princess Butterfly""""Ghostly Gala""""Cauldronation Day""""Too Cute to Spook"""
South Park,"""Pinkeye""""Spookyfish""""Korn's Groovy Pirate Ghost Mystery""""Hell on Earth 2006""""A Nightmare on Face Time""""Goth Kids 3: Dawn of the Posers""""Sons a Witches""""The Scoots""""Tegridy Farms Halloween Special"""
Solar Opposites,"""A Sinister Halloween Scary Opposites Solar Special"""
Space Goofs,"""Count Gracula"""
Space Nova,"""Ghost Station"""
Special Agent Oso,"""A View to a Mask""""Pumpkin Eyes"""
The Spectacular Spider-Man,"""The Uncertainty Principle"""
SpongeBob SquarePants,"""Scaredy Pants""""The Legend of Boo-Kini Bottom"""
The Spooktacular New Adventures of Casper,"""The Trick's a Treat"""
Squidbillies,"""The Tiniest Princess"""
Stanley,"""Grandma Griff's Mystery Guest"""
Star vs. the Forces of Evil,"""Hungry Larry"""
Stickin' Around,"""Scared Stupid""""The Ghost and Mr. Coffin"""
Sunny Day,"""Pumpkin Pursuit"""
Super Monsters,"""Tricks Before Treats / Halloween Extravaganza""""Super Monsters Save Halloween""""Vida's First Halloween"""
Supernoobs,"""Happy Noob-o-ween"""
Super Robot Monkey Team Hyperforce Go!,"""Season of the Skull"""
Super Why!,"""The Ghost Who Was Afraid of Halloween"""
Super Wings,"""House of Ghoulies"""
Teacher's Pet,"""Costume Pity Party""""The Tale of the Telltale Taffy"""
Team Umizoomi,"""Ghost Family Costume Party"""
Teamo Supremo,"""Haunted House on Horror Hill!"""
Teenage Mutant Ninja Turtles(1987),"""Super Irma"""
Teenage Mutant Ninja Turtles(2003),"""All Hallows Thieves"""
Teenage Mutant Ninja Turtles(2012),"""The Curse of Savanti Romero""""The Crypt of Dracula""""The Frankenstein Experiment""""Monsters Among Us"""
Teen Titans Go!,"""Halloween""""Scary Figure Dance""""Halloween vs. Christmas""""Costume Contest""""Monster Squad!""""Witches Brew""""Ghost With the Most""""Pepo the Pumpkinman""""Welcome to Halloween"""
The Secret Files of the Spy Dogs,"""Howl / Thirteen"""
The Strange Chores,"""Don't Trick Or Tweet"""
Thomas & Friends: All Engines Go!,"""Ghost Train"""
Tiny Toon Adventures,"""Tiny Toons' Night Ghoulery"""
The Tofus,"""The Revenge of the Pumpkins"""
Totally Spies!,"""Stuck in the Middle Ages with You""""Halloween is, Like, So Pagan"""
Transformers: Animated,"""Along Came a Spider"""
Transformers: Rescue Bots,"""Ghost in the Machine"""
Transformers: Rescue Bots Academy,"""Trick or Treat/Monster Savings"""
True and the Rainbow Kingdom,"""True: Tricky Treat Day"""
Tutenstein,"""The Day of the Undead"""
Uncle Grandpa,"""Afraid of the Dark""""Haunted RV""""Fool Moon""""Costume Crisis"""
UniKitty,"""Spoooooky Game""""Scary Tales""""Scary Tales 2"""
Vampirina,"""Hauntleyween""""Trick or Treaters"""
The Venture Bros.,"""A Very Venture Halloween"""
Wallykazam!,"""Mustache Day""""Dawn of the Zucchini"""
We Bare Bears,"""Charlie's Halloween Thing""""Charlie's Halloween Thing 2"""
The Weekenders,"""Nevermore"""
What's New Scooby-Doo?,"""A Scooby-Doo Halloween"""
Whirl,"""Party Supremacy""""Offer Errings"""
Where on Earth is Carmen Sandiego?,"""Trick or Treat"""
Wild Kratts,"""Creepy Creatures!"""
The Wild Thornberrys,"""Naimina Enkiyio""""Blood Sisters"""
Wild West C.O.W.-Boys of Moo Mesa,"""Skull Duggery Rides Again"""
Winx Club,"""Hallowinx!"""
W.I.T.C.H.,"""W is for Witch"""
"Wolves, Witches and Giants","""Billy's Halloween"""
Wonder Pets!,"""Save the Black Kitten!"""
WordGirl,"""Tobey's Tricks or Treats"""
WordWorld,"""A Kooky Spooky Halloween/Sheep's Halloween Costume"
Wow! Wow! Wubbzy!,"""The Ghost of Wuzzleburg""""March of the Pumpkins"""
Yin Yang Yo!,"""The Howl of the Weenie"""
Young Justice,"""Secrets"""
Show,Halloween Episode(s)
Delicious Party♡Pretty Cure,"""Pure And Proper! Amane And A Halloween Party"""
Digimon Universe: Appli Monsters,"""I Shall Have You in Costume! Cameramon's Halloween Scandal!"""
Digimon Ghost Game,"""The Doll's Manor""""The Crimson Harvest Festival"""
Doraemon,"""What Kinda Day Is Halloween?"""
Gintama,"""Like a Haunted House, Life Is Filled with Horrors"
Hamtaro,"""Ham Ham Halloween!"""
Happiness Charge Pretty Cure!,"""Big Bang Defeated! A Strong Foe Appears Unexpectedly!"""
Hirogaru Sky! Pretty Cure,"""Great Witch Yoyo And The Halloween Party!"""
HUGtto! Pretty Cure,"""Charged With Happiness! Happy Halloween!"""
The Idolm@ster Cinderella Girls Theater,"""Trick or NEET"""
Jewelpet Magical Change,"""The Hunt for Jewel Land's Treasure!""""Invasion of the Pumpkin People!"""
KiraKira☆Pretty Cure A La Mode,"""Salut! Ciel Is Going Back To France!?"""
Lady Jewelpet,"""The Ladies' Halloween Party"""
Mahou Princess Minky Momo,"""Mon-Mon-Monster"""
Mahou Tsukai Pretty Cure!,"""Today is Halloween! Everyone Must Smile!""""Sweet? Or Not Sweet? The Magical Pumpkin Festival!"""
Monster High(anime),"""Hello! Monster Halloween!"""
Ouran High School Host Club,"""Until the Day it Becomes a Pumpkin!"""
Odd Taxi,"""Trick or Treat"""
PaRappa the Rapper,"""Is it Scary?"""
Princess Sara,"""The Party of the Spirits"""
Rock Lee & His Ninja Pals,"""Deidara's Art is Always a Blast!"""
Star☆Twinkle Pretty Cure,"""Become Winners With UMA! The Halloween Costume Contest☆"""
Suite PreCure,"* ""Wakuwaku! Everyone Transform for Halloween Nya!"""
Tamagotchi!,"""Looking for the Pumpkin Soup Lake"""
Go-Go Tamagotchi!,"""Shining Smiles! Happy Tamaween"""
Tropical-Rouge! Pretty Cure,"""Exciting Halloween! Don't Lose, Manatsu!"""
