Title
['Docka:Leia Organa']
"['Docka', 'Docka']"
"['Docka', 'Docka']"
"['Rymdfarkost', 'Spacecraft', 'Rymdfarkost']"
"['Filmplakat: ""Star Wars - Die Rückkehr der Jedi-Ritter""']"
['Docka:Darth Vader']
"['lX.Kortárs Művészeti Fesztivál Székesfehérvár', 'TEGYÉTEK MEG A FÁKÉRT!', 'Császár Péter failak kiállítása']"
